ranking	title	director	description	link
154	Vampyr (1932)	Carl Theodor Dreyer		/sightandsoundpolls/2012/film/4ce2b6b9a848b
154	Come And See (1985)	Elem Klimov		/sightandsoundpolls/2012/film/4ce2b72b62c27
154	Distant Voices, Still Lives (1988)	Terence Davies	Post-war working-class Liverpool life is impressionistically evoked in Terence Davies’ two-part film, by turns lyrical, humorous and horrific.	/sightandsoundpolls/2012/film/4ce2b79314351
154	Once Upon a Time in America (1983)	Sergio Leone		/sightandsoundpolls/2012/film/4ce2b6e31e32e
154	Cries and Whispers (1957)	Ingmar Bergman		/sightandsoundpolls/2012/film/4ce2b8a6a002c
171	King Kong (1933)	Merian C. Cooper/Ernest B. Schoedsack		/sightandsoundpolls/2012/film/4ce2b6ae1daad
171	Werckmeister Harmonies, The (2000)	Béla Tarr		/sightandsoundpolls/2012/film/4ce2b848e226c
171	Star Wars (1977)	George Lucas		/sightandsoundpolls/2012/film/4ce2b6b738e6d
171	Notorious (1946)	Alfred Hitchcock	In one of Hitchcock’s darkest thrillers, a traitor’s daughter is engaged by an American agent to get close to one of her father’s Nazi associates.	/sightandsoundpolls/2012/film/4ce2b6b1bc4ee
171	His Girl Friday (1939)	Howard Hawks		/sightandsoundpolls/2012/film/4ce2b6ac5e051
171	Goodfellas (1990)	Martin Scorsese		/sightandsoundpolls/2012/film/4ce2b79d587a4
171	Umbrellas of Cherbourg, The (1964)	Jacques Demy		/sightandsoundpolls/2012/film/4ce2b6b295aa3
171	Trip to the Moon, A (1902)	Georges Méliès		/sightandsoundpolls/2012/film/4ce2b6a453c5b
171	Sweet Smell of Success (1957)	Alexander Mackendrick	Burt Lancaster and Tony Curtis play tabloid baron J.J. Hunsecker and grasping press agent Sidney Falco in this jet-black satire on the venality of the newspaper business.	/sightandsoundpolls/2012/film/4ce2b6b774f0f
171	Kind Hearts and Coronets (1949)	Robert Hamer		/sightandsoundpolls/2012/film/4ce2b73453fda
171	Tabu (1931)	F. W. Murnau		/sightandsoundpolls/2012/film/4ce2b6b78bfc0
171	Earth (1930)	Aleksandr Dovzhenko	Commissioned to make propaganda for Stalin’s farm collectivisations, the Soviet cinema’s great visual poet Alexander Dovzhenko instead delivered an impassioned hymn to nature.	/sightandsoundpolls/2012/film/4ce2b6bb8e7a6
183	Breaking the Waves (1996)	Lars von Trier		/sightandsoundpolls/2012/film/4ce2b7e2b963d
183	Grapes of Wrath, The (1940)	John Ford	Novelist John Steinbeck’s great chronicle of Depression-era America reached the screen in director John Ford’s stark and powerful adaptation.	/sightandsoundpolls/2012/film/4ce2b721151ac
183	Paris, Texas (1984)	Wim Wenders		/sightandsoundpolls/2012/film/4ce2b69592ecf
183	E.T. (1982)	Steven Spielberg		/sightandsoundpolls/2012/film/4ce2b693ec5ed
183	Rome Open City (1945)	Roberto Rossellini		/sightandsoundpolls/2012/film/4ce2b6b48f642
183	Faces (1968)	John Cassavetes		/sightandsoundpolls/2012/film/4ce2b6a9c2177
183	Music Room, The (1958)	Satyajit Ray		/sightandsoundpolls/2012/film/4ce2b6ad7b33b
183	Story of the Late Chrysanthemums, The (1939)	Mizoguchi Kenji	A 19th-century kabuki theatre is the setting for this early Kenji Mizoguchi masterpiece about a woman’s selfless sacrifice for her mediocre actor husband.	/sightandsoundpolls/2012/film/4ce2b6bb83f08
183	Touch of Zen, A (1969)	King Hu		/sightandsoundpolls/2012/film/4ce2b72a49470
183	Listen to Britain (1942)	Humphrey Jennings/Stewart McAllister		/sightandsoundpolls/2012/film/4ce2b69e57fec
183	Day of Wrath (1943)	Carl Theodor Dreyer		/sightandsoundpolls/2012/film/4ce2b6ba1935d
183	Thin Red Line, The (1998)	Terrence Malick		/sightandsoundpolls/2012/film/4ce2b8021b76d
183	Eraserhead (1976)	David Lynch		/sightandsoundpolls/2012/film/4ce2b6bd29db3
183	Texas Chainsaw Massacre, The (1974)	Tobe Hooper		/sightandsoundpolls/2012/film/4ce2b6b7ea720
183	Discreet Charm of the Bourgeoisie, The (1972)	Luis Buñuel		/sightandsoundpolls/2012/film/4ce2b6a76bf31
183	Conversation, The (1974)	Francis Ford Coppola		/sightandsoundpolls/2012/film/4ce2b6a7ea9b8
183	Out of the Past (1947)	Jacques Tourneur		/sightandsoundpolls/2012/film/4ce2b6b26aca5
183	I Was Born, But… (1932)	Ozu Yasujirô 		/sightandsoundpolls/2012/film/4ce2b6b956eeb
183	"I Know Where I'm Going!" (1945)	Michael Powell/Emeric Pressburger		/sightandsoundpolls/2012/film/4ce2b6ace5f91
202	Death of Mr Lazarescu, The (2005)	Cristi Puiu	The film that brought the Romanian New Wave to global attention was this almost real-time drama about the last hours of a reluctant hospital in-patient.	/sightandsoundpolls/2012/film/4ce2b8b181b6e
202	Red Desert (1964)	Michelangelo Antonioni		/sightandsoundpolls/2012/film/4ce2b6a8b1185
202	Chelsea Girls (1966)	Andy Warhol/Paul Morrissey		/sightandsoundpolls/2012/film/4ce2b6a776274
202	Badlands (1973)	Terrence Malick		/sightandsoundpolls/2012/film/4ce2b6a470348
202	Kings of the Road (1976)	Wim Wenders		/sightandsoundpolls/2012/film/4ce2b6ad02e91
202	There Will Be Blood (2007)	Paul Thomas Anderson	This operatic portrait of a diabolical oil baron is a formal tour de force and a compelling portrait of all-American 20th century sociopathy.	/sightandsoundpolls/2012/film/4ce2b8c6518bb
202	WALL-E (2008)	Andrew Stanton		/sightandsoundpolls/2012/film/4ce2b8c558b63
202	Berlin Alexanderplatz ()	Rainer Werner Fassbinder		/sightandsoundpolls/2012/film/4f4b9a8382524
202	Videodrome (1983)	David Cronenberg		/sightandsoundpolls/2012/film/4ce2b69593482
202	Daisies (1966)	Vera Chytilová		/sightandsoundpolls/2012/film/4ce2b768df342
202	Uncle Boonmee Who Can Recall His Past Lives (2010)	Apichatpong Weerasethakul		/sightandsoundpolls/2012/film/4ce2b8de13c81
202	Manhattan (1979)	Woody Allen	Filmed in black and white and filled with Ira Gershwin tunes, Manhattan is Woody Allen’s rhapsodic tribute to New York City.	/sightandsoundpolls/2012/film/4ce2b6be7d19a
202	Cleo from 5 to 7 (1962)	Agnès Varda		/sightandsoundpolls/2012/film/4ce2b6a7b2be8
202	West of the Tracks (2002)	Wang Bing		/sightandsoundpolls/2012/film/4ce2b894cfdd1
202	Russian Ark (2002)	Aleksandr Sokurov		/sightandsoundpolls/2012/film/4ce2b87fa510a
202	Tale of Tales, A (1979)	Yuri Norstein		/sightandsoundpolls/2012/film/4ce2b76ccb454
202	Spirited Away (2001)	Miyazaki Hayao		/sightandsoundpolls/2012/film/4ce2b83f86eb2
202	strada, La (1954)	Federico Fellini	A brutish travelling strongman (Anthony Quinn) acquires a waif-like young assistant (Giulietta Masina) before taking to the road in Federico Fellini’s acclaimed neo-realist fable.	/sightandsoundpolls/2012/film/4ce2b6b6b7aca
202	Paisà (1946)	Roberto Rossellini		/sightandsoundpolls/2012/film/4ce2b753f20d7
202	Shop Around the Corner, The (1940)	Ernst Lubitsch		/sightandsoundpolls/2012/film/4ce2b6b5c4f6e
202	Big Sleep, The (1946)	Howard Hawks	Howard Hawks reteamed Humphrey Bogart and Lauren Bacall for this stylish and seductive adaptation of Raymond Chandler’s labyrinthine private-eye novel.	/sightandsoundpolls/2012/film/4ce2b6a52249e
202	Killer of Sheep (1977)	Charles Burnett		/sightandsoundpolls/2012/film/4ce2b736ee9c0
202	Wanda (1970)	Barbara Loden		/sightandsoundpolls/2012/film/4ce2b6ba31970
202	Germany Year Zero (1948)	Roberto Rossellini		/sightandsoundpolls/2012/film/4ce2b6ab01897
202	Life of Oharu, The (1952)	Mizoguchi Kenji		/sightandsoundpolls/2012/film/4ce2b6b4da49b
202	Army of Shadows (1969)	Jean-Pierre Melville		/sightandsoundpolls/2012/film/4ce2b6ee1a28e
202	Salo, or The 120 Days of Sodom (1975)	Pier Paolo Pasolini		/sightandsoundpolls/2012/film/4ce2b6b4ead96
202	Duck Soup (1933)	Leo McCarey		/sightandsoundpolls/2012/film/4ce2b6a943938
202	Devil Probably, The (1977)	Robert Bresson		/sightandsoundpolls/2012/film/4ce2b6bce92a0
202	undefined	Béla Tarr		undefined
202	Love Streams (1984)	John Cassavetes		/sightandsoundpolls/2012/film/4ce2b6e742567
202	Exterminating Angel, The (1962)	Luis Buñuel		/sightandsoundpolls/2012/film/4ce2b6b995895
202	Floating Clouds (1955)	Naruse Mikio		/sightandsoundpolls/2012/film/4ce2b6b94f5ad
235	Piano, The (1992)	Jane Campion		/sightandsoundpolls/2012/film/4ce2b7b54d000
235	Gone with the Wind (1939)	Victor Fleming	An epic romance set against the backdrop of the American Civil War which broke box-office records and swept the board at the 1939 Academy Awards.	/sightandsoundpolls/2012/film/4ce2b6ab5808b
235	Melancholia (2011)	Lars von Trier		/sightandsoundpolls/2012/film/4f4b8d17bedb4
235	House is Black, The (1962)	Forough Farrokhzad		/sightandsoundpolls/2012/film/4ce2b6be331c6
235	Cabinet of Dr Caligari, The (1919)	Robert Wiene		/sightandsoundpolls/2012/film/4ce2b73343e80
235	Red River (1947)	Howard Hawks/Arthur Rosson		/sightandsoundpolls/2012/film/4ce2b6b416034
235	Clockwork Orange, A (1971)	Stanley Kubrick	A dystopian future London is the playground of a teenage gang leader in Stanley Kubrick’s stylish, controversial take on Anthony Burgess’s novel about violence and free will.	/sightandsoundpolls/2012/film/4ce2b6a7b69f6
235	Two-Lane Blacktop (1971)	Monte Hellman		/sightandsoundpolls/2012/film/4ce2b6b93e9f8
235	Autumn Afternoon, An (1962)	Ozu Yasujirô 		/sightandsoundpolls/2012/film/4ce2b6b4f1afc
235	Thin Blue Line, The (1989)	Errol Morris		/sightandsoundpolls/2012/film/4ce2b799d35c1
235	World of Apu, The (1958)	Satyajit Ray		/sightandsoundpolls/2012/film/4ce2b6c01bcfe
235	Testament of Dr Mabuse, The (1933)	Fritz Lang		/sightandsoundpolls/2012/film/4ce2b6b7e42fe
235	My Darling Clementine (1946)	John Ford		/sightandsoundpolls/2012/film/4ce2b6b10f03e
235	Double Life of Veronique, The (1991)	Krzysztof Kieslowski		/sightandsoundpolls/2012/film/4ce2b7ac4482a
235	Kes (1969)	Ken Loach	The tough, touching story of a northern schoolboy and the kestrel that brings hope to his hardscrabble life remains the most widely admired of Ken Loach’s films.	/sightandsoundpolls/2012/film/4ce2b6adf17e2
235	Three Colours: Red (1994)	Krzysztof Kieslowski		/sightandsoundpolls/2012/film/4ce2b7c1b7f0d
